GO NO,ARREST BOOKING NO_PK,PIN,AGE,SEX,RACE,ETHNICITY,ARREST DATE,ARREST TIME,BT,ARREST REASON,ARREST TYPE,SUMMARY OF FACTS,ARREST OFFICER,ARREST OFFICER NAME,CURRENT STATUS,YOUNG OFFENDER?
SJ2021210280686,SJ2021956,442000193,54,M,B,B,1/25/2021,1833,D3,ON VIEW,ON VIEW ARREST,TRESPASSING (ONVW),,,CHARGED/BOOKED,N
SJ2021J3459920 C,SJ20211738,441771701,41,F,H,H,1/25/2021,1750,M1,CRIMINAL CITATION,SUMMONED/CITED,TRESPASSING (CITE),4721,PERKINS,CITED,N
SJ2021J3468783 C,SJ20212078,61014278,31,M,H,H,1/25/2021,2210,R3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4454,ORABUENA IV,CITED,N
SJ2021J3471109 C,SJ20211868,288752642,43,F,H,H,1/25/2021,2015,X3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4456,SITARZ,CITED,N
SJ2021J3472074 C,SJ20211736,169869838,36,F,H,H,1/25/2021,2015,X3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4418,ZASLY,CITED,N
SJ2021J3473854 C,SJ20212085,442172426,29,M,H,H,1/25/2021,243,M5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4713,CAMPOY,CITED,N
SJ2021J3475036 C,SJ20211869,221053209,43,M,H,H,1/25/2021,2113,E2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4858,LUBERS,CITED,N
SJ2021J3475906 C,SJ20211864,442293413,37,M,H,H,1/25/2021,1318,C1,CRIMINAL CITATION,SUMMONED/CITED,FAILING TO PROVIDE EVIDENCE OF FINANCIAL RESPONSIBILITY (CITE),4496,LOPEZ,CITED,N
SJ2021J3476252 C,SJ20211810,442293251,51,F,A,A,1/25/2021,2005,A3,CRIMINAL CITATION,SUMMONED/CITED,PETTY THEFT (CITE),4601,QUINONEZ,CITED,N
SJ2021J3476609 C,SJ20211443,442082165,58,M,B,B,1/25/2021,918,,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4551,FALKNER,CITED,N
SJ2021J3477203 C,SJ20211867,442278239,28,M,H,H,1/25/2021,1139,X4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4871,MONTEON,CITED,N
SJ2021J3479501 C,SJ20211863,442186345,36,M,O,O,1/25/2021,2231,T5,CRIMINAL CITATION,SUMMONED/CITED,LITTERING ON HIWAY (CITE),4592,ELLS,CITED,N
SJ2021J3479502 C,SJ20211260,63963394,35,M,W,W,1/25/2021,2320,A3,CRIMINAL CITATION,SUMMONED/CITED,RECKLESS DRIVING (CITE),4592,ELLS,CITED,N
SJ2021WAARRANT C,SJ20211597,442186345,36,M,O,O,1/25/2021,2218,T5,CRIMINAL CITATION,SUMMONED/CITED,DUI WITH ALCOHOL 0 08 PERCENT OR MORE (CITE),4592,ELLS,CITED,N
SJ2021WARRANT C,SJ20213116,442172426,29,M,H,H,1/25/2021,243,M5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4713,CAMPOY,CITED,N
SJ2021WARRANT C,SJ20213112,441999514,39,M,B,B,1/25/2021,1015,V1,CRIMINAL CITATION,SUMMONED/CITED,DRAW/EXH F/ARM IN PRESENCE OF VEH OCCUPANT (CITE),,,CITED,N
SJ2021WARRANT C,SJ20213113,442275790,61,M,V,V,1/25/2021,1500,V1,CRIMINAL CITATION,SUMMONED/CITED,HIT AND RUN:PROPERTY DAMAGE (CITE),,,CITED,N
SJ2021210210147,SJ2021759,442190981,32,F,B,B,1/26/2021,1458,C2,ON VIEW,ON VIEW ARREST,DRIVING/TAKING VEHICLE W/O OWNERS PERMISSION (ONVW),4231,YAMAMOTO,CHARGED/BOOKED,N
SJ2021210260010,SJ2021734,441727830,31,M,H,H,1/26/2021,22,L2,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),4816,MEHER,CHARGED/BOOKED,N
SJ2021210260036,SJ2021733,441790124,25,M,B,B,1/26/2021,58,N3,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2021210260039,SJ20211742,442058454,30,M,H,H,1/26/2021,107,C3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4813,PEREZ,CITED,N
SJ2021210260064,SJ2021735,442291900,27,M,O,O,1/26/2021,302,P2,ON VIEW,ON VIEW ARREST,FUG FROM JUSTICE;WARANTLESS ARR (ONVW),4661,BANZON,CHARGED/BOOKED,N
SJ2021210260086,SJ2021739,442264949,34,M,H,H,1/26/2021,530,T3,ON VIEW,ON VIEW ARREST,FORCE/ADW NOT FIREARM:GBI LIKELY (ONVW),4688,RIVERA,CHARGED/BOOKED,N
SJ2021210260103,SJ2021738,441752378,21,M,H,H,1/26/2021,539,K4,ON VIEW,ON VIEW ARREST,PROHIB BUY/ETC F/ARM/ORDS (ONVW),4212,MONLUX,CHARGED/BOOKED,N
SJ2021210260158,SJ2021762,441860044,29,M,W,W,1/26/2021,822,F4,LOCAL BENCH WARRANT,TAKEN INTO CUSTODY/WARRANT ARREST ONLY,BURGLARY: FIRST DEGREE (LBWR),4804,DIVINA JR,CHARGED/BOOKED,N
SJ2021210260170,SJ20211138,442067490,28,M,A,H,1/26/2021,912,N5,ON VIEW,ON VIEW ARREST,THEFT OR UNAUTHORIZED USE OF VEHICLE (ONVW),4846,LEITE,CHARGED/BOOKED,N
SJ2021210260220,SJ20211223,442169736,40,M,W,W,1/26/2021,953,A3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4155,NIBUNGCO,CITED,N
SJ2021210260256,SJ2021760,441776188,32,M,W,W,1/26/2021,1231,,ON VIEW,ON VIEW ARREST,VIOLATION OF PROTECTIVE ORDER OR STAY AWAY COURT ORDER (ONVW),3249,REDMOND,CHARGED/BOOKED,N
SJ2021210260276,SJ20211139,442237644,56,F,O,O,1/26/2021,1135,Y3,ON VIEW,ON VIEW ARREST,BAT:SPOUSE/EX SP/DATE/ETC (ONVW),4871,MONTEON,CHARGED/BOOKED,N
SJ2021210260370,SJ2021756,442122988,21,M,H,H,1/26/2021,1316,S5,ON VIEW,ON VIEW ARREST,VIOLATION OF PROTECTIVE ORDER (ONVW),3791,DESTRO,CHARGED/BOOKED,N
SJ2021210260376,SJ20211222,186845965,43,M,H,H,1/26/2021,1500,E3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),3658,ROBERSON,CITED,N
SJ2021210260390,SJ2021770,442293043,32,M,W,W,1/26/2021,1305,L4,ON VIEW,ON VIEW ARREST,GRAND THEFT OF PERSONAL PROPERTY OF A VALUE OVER $950 (ONVW),887A,NASCIMENTO,CHARGED/BOOKED,N
SJ2021210260478,SJ2021759,442190981,32,F,B,B,1/26/2021,1458,C2,ON VIEW,ON VIEW ARREST,DRIVING/TAKING VEHICLE W/O OWNERS PERMISSION (ONVW),4231,YAMAMOTO,CHARGED/BOOKED,N
SJ2021210260510,SJ20211174,442242140,36,M,H,H,1/26/2021,1757,L1,LOCAL BENCH WARRANT,TAKEN INTO CUSTODY/WARRANT ARREST ONLY,VANDALISM ($400.00 OR MORE) (LBWR),4567,ESCOBEDO,CHARGED/BOOKED,N
SJ2021210260516,SJ2021758,216269324,30,M,H,H,1/26/2021,1549,C3,ON VIEW,ON VIEW ARREST,DISORDERLY CONDUCT/ALCOHOL (ONVW),4415,THANDI,CHARGED/BOOKED,N
SJ2021210260518,SJ2021800,153159703,41,F,H,H,1/26/2021,1613,M4,ON VIEW,ON VIEW ARREST,TRESPASS BY ENTERING AND OCCUPYING PROPERTY (ONVW),4646,DOMINGUEZ,CHARGED/BOOKED,N
SJ2021210260521,SJ2021768,442246996,26,M,B,B,1/26/2021,1618,W4,OUT OF COUNTY WARRANT,TAKEN INTO CUSTODY/WARRANT ARREST ONLY,POSSESS CONTROLLED SUBSTANCE (OWAR),4718,KIM,CHARGED/BOOKED,N
SJ2021210260548,SJ20211224,442293393,20,M,H,H,1/26/2021,1656,N3,CRIMINAL CITATION,SUMMONED/CITED,BATTERY (CITE),3943,MORENO,CITED,N
SJ2021210260589,SJ2021764,442013378,44,M,H,H,1/26/2021,1708,L4,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),4400,CRISTANCHO,CHARGED/BOOKED,N
SJ2021210260589,SJ20211262,441819981,36,M,H,H,1/26/2021,1830,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4470,MORDEN JR,CITED,N
SJ2021210260589,SJ20211263,441796844,20,F,H,H,1/26/2021,1820,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4406,SAINI,CITED,N
SJ2021210260747,SJ2021772,441898835,36,M,W,W,1/26/2021,2021,Y3,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),4819,MACHADO,CHARGED/BOOKED,N
SJ2021210260807,SJ2021771,441746875,25,M,A,A,1/26/2021,2215,,ON VIEW,ON VIEW ARREST,CONTEMPT:DISOBEY CRT ORDR (ONVW),3985,VALENTINE,CHARGED/BOOKED,N
SJ2021210260813,SJ2021769,442140447,54,M,H,H,1/26/2021,2228,Y4,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2021J3394493 C,SJ20211224,442293393,20,M,H,H,1/26/2021,1656,N3,CRIMINAL CITATION,SUMMONED/CITED,BATTERY (CITE),3943,MORENO,CITED,N
SJ2021J3471781 C,SJ20211742,442058454,30,M,H,H,1/26/2021,107,C3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4813,PEREZ,CITED,N
SJ2021J3473683 C,SJ20211263,441796844,20,F,H,H,1/26/2021,1820,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4406,SAINI,CITED,N
SJ2021J3474011 C,SJ20211262,441819981,36,M,H,H,1/26/2021,1830,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4470,MORDEN JR,CITED,N
SJ2021J3476137 C,SJ20211223,442169736,40,M,W,W,1/26/2021,953,A3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4155,NIBUNGCO,CITED,N
SJ2021J3477279 C,SJ20211222,186845965,43,M,H,H,1/26/2021,1500,E3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),3658,ROBERSON,CITED,N
SJ2021210260058,SJ20212511,288948998,40,M,H,H,1/27/2021,2010,V3,ON VIEW,ON VIEW ARREST,BAT:SPOUSE/EX SP/DATE/ETC (ONVW),,,CHARGED/BOOKED,N
SJ2021210260808,SJ20211580,442236557,20,M,W,W,1/27/2021,700,,ON VIEW,ON VIEW ARREST,RAPE:NOT SPECIFIED (ONVW),,,CHARGED/BOOKED,N
SJ2021210270112,SJ20211823,441927215,20,F,W,W,1/27/2021,830,L5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4456,SITARZ,CITED,N
SJ2021210270112,SJ2021776,441754802,38,M,A,V,1/27/2021,800,L5,ON VIEW,ON VIEW ARREST,MFG/COMPOUNDING ETC CONT SUB (ONVW),,,CHARGED/BOOKED,N
SJ2021210270213,SJ20211862,442027447,30,F,H,H,1/27/2021,1000,A5,CRIMINAL CITATION,SUMMONED/CITED,TRESPASS:CLOSED LANDS (CITE),3267,GUERRA,CITED,N
SJ2021210270213,SJ20211188,442064215,43,M,W,W,1/27/2021,1000,A5,CRIMINAL CITATION,SUMMONED/CITED,TRESPASS:CLOSED LANDS (CITE),3267,GUERRA,CITED,N
SJ2021210270259,SJ2021801,442293507,39,F,H,H,1/27/2021,1115,Y3,ON VIEW,ON VIEW ARREST,FORCE/ADW NOT FIREARM:GBI LIKELY (ONVW),,,CHARGED/BOOKED,N
SJ2021210270334,SJ20211182,442293479,39,M,C,C,1/27/2021,1205,P3,CRIMINAL CITATION,SUMMONED/CITED,VANDALISM (CITE),4806,RICHMOND JR,CITED,N
SJ2021210270336,SJ2021816,441776812,33,M,V,V,1/27/2021,2237,,ON VIEW,ON VIEW ARREST,CONTEMPT:DISOBEY CRT ORDR (ONVW),,,CHARGED/BOOKED,N
SJ2021210270416,SJ2021804,442293564,34,M,H,H,1/27/2021,1326,,ON VIEW,ON VIEW ARREST,VANDALISM (ONVW),,,CHARGED/BOOKED,N
SJ2021210270417,SJ20212510,441953454,29,M,B,B,1/27/2021,1310,E2,ON VIEW,ON VIEW ARREST,EXHIBIT DEADLY WEAPON:NOT FIREARM (ONVW),,,CHARGED/BOOKED,N
SJ2021210270479,SJ20212294,442026210,42,M,A,A,1/27/2021,1415,L4,ON VIEW,ON VIEW ARREST,GRAND THEFT (ONVW),,,CHARGED/BOOKED,N
SJ2021210270536,SJ20211467,51052802,55,M,W,W,1/27/2021,1546,M2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4654,CALIGARIS,CITED,N
SJ2021210270655,SJ20212297,442127304,34,M,H,H,1/27/2021,1803,X1,ON VIEW,ON VIEW ARREST,DUI .08 BLOOD ALCHO AND CAUSING INJURY (ONVW),,,CHARGED/BOOKED,N
SJ2021210270656,SJ2021811,442244742,51,M,H,H,1/27/2021,1730,L4,ON VIEW,ON VIEW ARREST,USE/UNDER INFL CONTRLD SUB (ONVW),,,CHARGED/BOOKED,N
SJ2021210270663,SJ2021808,441898035,33,M,H,H,1/27/2021,1812,,ON VIEW,ON VIEW ARREST,DUI ALCOHOL/DRUGS (ONVW),,,CHARGED/BOOKED,N
SJ2021210270741,SJ20213246,441937752,36,F,H,H,1/27/2021,1934,L2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4868,HUANG,CITED,N
SJ2021210270741,SJ20211225,441937752,36,F,H,H,1/27/2021,1847,L2,CRIMINAL CITATION,SUMMONED/CITED,BATTERY ON PERSON (PUNISHMENT) (CITE),4868,HUANG,CITED,N
SJ2021210270769,SJ2021805,12779787,46,M,W,W,1/27/2021,1944,F5,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB (ONVW),,,CHARGED/BOOKED,N
SJ2021210270772,SJ2021807,442264497,26,M,H,H,1/27/2021,2055,L5,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2021210270839,SJ2021809,441894878,41,M,H,H,1/27/2021,2120,X5,ON VIEW,ON VIEW ARREST,WILLFUL HARM/INJURY TO CHILD ENDANGERING PERSON OR (ONVW),,,CHARGED/BOOKED,N
SJ2021210270841,SJ2021973,442128034,17,M,H,H,1/27/2021,2120,,CRIMINAL CITATION,SUMMONED/CITED,RECKLESS DRIVING/MARIJUANA SALES,,,CITED,Y
SJ2021210270884,SJ20211436,442055310,38,M,B,B,1/27/2021,1046,F5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4880,JAYCOX,CITED,N
SJ2021210270900,SJ2021810,442258608,20,M,H,H,1/27/2021,2308,M5,ON VIEW,ON VIEW ARREST,INFLICT CORPORAL INJ SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2021210270911,SJ2021806,441965384,34,M,B,B,1/27/2021,2303,R4,ON VIEW,ON VIEW ARREST,TRESPASSING (ONVW),,,CHARGED/BOOKED,N
SJ2021210270918,SJ20211437,442210455,34,M,W,W,1/27/2021,1146,E3,CRIMINAL CITATION,SUMMONED/CITED,TRESPASS BY ENTERING AND OCCUPYING PROPERTY (CITE),4519,DAVIDSON,CITED,N
SJ2021J3415270 C,SJ20211437,442210455,34,M,W,W,1/27/2021,1146,E3,CRIMINAL CITATION,SUMMONED/CITED,TRESPASS BY ENTERING AND OCCUPYING PROPERTY (CITE),4519,DAVIDSON,CITED,N
SJ2021J34372844 C,SJ20211436,442055310,38,M,B,B,1/27/2021,1046,F5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4880,JAYCOX,CITED,N
SJ2021J3458890 C,SJ20211182,442293479,39,M,C,C,1/27/2021,1205,P3,CRIMINAL CITATION,SUMMONED/CITED,VANDALISM (CITE),4806,RICHMOND JR,CITED,N
SJ2021J3465028 C,SJ20211188,442064215,43,M,W,W,1/27/2021,1000,A5,CRIMINAL CITATION,SUMMONED/CITED,TRESPASS:CLOSED LANDS (CITE),3267,GUERRA,CITED,N
SJ2021J3467918 C,SJ20211467,51052802,55,M,W,W,1/27/2021,1546,M2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4654,CALIGARIS,CITED,N
SJ2021J3471110 C,SJ20211823,441927215,20,F,W,W,1/27/2021,830,L5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4456,SITARZ,CITED,N
SJ2021J3474960 C,SJ20211225,441937752,36,F,H,H,1/27/2021,1847,L2,CRIMINAL CITATION,SUMMONED/CITED,BATTERY ON PERSON (PUNISHMENT) (CITE),4868,HUANG,CITED,N
SJ2021J3476138 C,SJ20211862,442027447,30,F,H,H,1/27/2021,1000,A5,CRIMINAL CITATION,SUMMONED/CITED,TRESPASS:CLOSED LANDS (CITE),3267,GUERRA,CITED,N
SJ2021WARRANT C,SJ20213246,441937752,36,F,H,H,1/27/2021,1934,L2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4868,HUANG,CITED,N
SJ2020203220884,SJ2021847,441784852,26,M,B,B,1/28/2021,945,,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),,,CHARGED/BOOKED,N
SJ2021210270705,SJ20211365,442293574,17,F,H,O,1/28/2021,1135,,WARRANT,TAKEN INTO CUSTODY/WARRANT ARREST ONLY,WARRANT,,,CHARGED/BOOKED,Y
SJ2021210270757,SJ20211438,442293600,47,M,H,H,1/28/2021,144,,CRIMINAL CITATION,SUMMONED/CITED,HIT AND RUN:PROPERTY DAMAGE (CITE),,,CITED,N
SJ2021210280101,SJ20212298,442293706,22,M,H,H,1/28/2021,629,K6,ON VIEW,ON VIEW ARREST,POSSESS/CONTROLL MATTER DEPICTING PERSON UNDER AGE 18 IN SEX A (ONVW),,,CHARGED/BOOKED,N
SJ2021210280121,SJ2021964,441909113,28,M,W,H,1/28/2021,725,V3,ON VIEW,ON VIEW ARREST,BURGLARY: FIRST DEGREE (ONVW),,,CHARGED/BOOKED,N
SJ2021210280465,SJ2021864,441735269,22,M,H,H,1/28/2021,1406,E4,ON VIEW,ON VIEW ARREST,WILLFUL HARM/INJURY TO CHILD ENDANGERING PERSON OR HEALTH (ONVW),,,CHARGED/BOOKED,N
SJ2021210280492,SJ20211089,442293996,33,M,B,B,1/28/2021,1430,F2,ON VIEW,ON VIEW ARREST,OBSTRUCT/RESIST PUB OFCR (ONVW),,,CHARGED/BOOKED,N
SJ2021210280557,SJ2021987,441838887,55,M,H,H,1/28/2021,1736,S1,ON VIEW,ON VIEW ARREST,POSSESSION MARIJUANA/HASH F/SALE (ONVW),,,CHARGED/BOOKED,N
SJ2021210280607,SJ2021939,442260063,23,M,H,H,1/28/2021,2208,N4,ON VIEW,ON VIEW ARREST,"RAPE BY FORCE, VIOLENCE, DURESS, MENACE OR FEAR (ONVW)",4393,HAWKLEY,CHARGED/BOOKED,N
SJ2021210280610,SJ20211062,441954464,28,F,W,W,1/28/2021,1700,P4,ON VIEW,ON VIEW ARREST,TRANS/SELL CONTRLD SUB (ONVW),4456,SITARZ,CHARGED/BOOKED,N
SJ2021210280610,SJ20212300,173736193,42,M,A,F,1/28/2021,1700,P4,ON VIEW,ON VIEW ARREST,POSSESSION FOR SALE OR PURCHASE FOR PURPOSE OF SALE OF A CONTR (ONVW),,,CHARGED/BOOKED,N
SJ2021210280616,SJ2021867,441724579,46,M,H,H,1/28/2021,1835,L2,ON VIEW,ON VIEW ARREST,POSSESS UNLAWFUL PARAPHERNALIA (ONVW),4868,HUANG,CHARGED/BOOKED,N
SJ2021210280631,SJ20211848,441965641,36,M,H,H,1/28/2021,1754,K5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4748,KIRWAN,CITED,N
SJ2021210280694,SJ2021865,442168100,27,M,O,O,1/28/2021,1828,P1,ON VIEW,ON VIEW ARREST,ROBBERY (ONVW),,,CHARGED/BOOKED,N
SJ2021210280703,SJ2021974,169935367,26,M,A,A,1/28/2021,1840,V4,ON VIEW,ON VIEW ARREST,FELON IN POSSESSION OF TEAR GAS (ONVW),4726,KAUFMAN,CHARGED/BOOKED,N
SJ2021210280703,SJ2021975,442275973,37,M,H,H,1/28/2021,1840,V4,ON VIEW,ON VIEW ARREST,POSSESSION: TEAR GAS (ONVW),4726,KAUFMAN,CHARGED/BOOKED,N
SJ2021210280721,SJ2021866,441736473,34,M,A,A,1/28/2021,1936,,ON VIEW,ON VIEW ARREST,SEXUAL BATTERY (ONVW),3979,MCCLURE,CHARGED/BOOKED,N
SJ2021210280761,SJ20211226,441841199,33,M,A,A,1/28/2021,1956,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4110,COLLINS,CITED,N
SJ2021210280761,SJ2021940,441856617,50,M,V,V,1/28/2021,2010,P1,ON VIEW,ON VIEW ARREST,POSSESSION FOR SALE OR PURCHASE FOR PURPOSE OF SALE OF A CONTR (ONVW),,,CHARGED/BOOKED,N
SJ2021210280769,SJ20211227,441939029,38,M,H,H,1/28/2021,2016,L2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4786,VASQUEZ,CITED,N
SJ2021210280800,SJ2021882,442124788,31,F,B,B,1/28/2021,2109,X4,ON VIEW,ON VIEW ARREST,ROBBERY (ONVW),4762,LOPEZ,CHARGED/BOOKED,N
SJ2021210280835,SJ2021941,442142711,32,M,B,B,1/28/2021,2301,E4,ON VIEW,ON VIEW ARREST,"RESISTING, DELAYING, OBSTRUCTING AN OFFICER (ONVW)",,,CHARGED/BOOKED,N
SJ2021210280870,SJ2021942,442293697,49,M,W,W,1/28/2021,2249,V2,ON VIEW,ON VIEW ARREST,BAT:SPOUSE/EX SP/DATE/ETC (ONVW),,,CHARGED/BOOKED,N
SJ2021J3468410 C,SJ20211226,441841199,33,M,A,A,1/28/2021,1956,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4110,COLLINS,CITED,N
SJ2021J3471926 C,SJ20211438,442293600,47,M,H,H,1/28/2021,144,,CRIMINAL CITATION,SUMMONED/CITED,HIT AND RUN:PROPERTY DAMAGE (CITE),,,CITED,N
SJ2021J3473266 C,SJ20211227,441939029,38,M,H,H,1/28/2021,2016,L2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4786,VASQUEZ,CITED,N
SJ2021J3474712 C,SJ20211848,441965641,36,M,H,H,1/28/2021,1754,K5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4748,KIRWAN,CITED,N
SJ2020203090702,SJ20211067,442233697,19,M,H,H,1/29/2021,900,V1,ON VIEW,ON VIEW ARREST,ROBBERY (ONVW),,,CHARGED/BOOKED,N
SJ2020203570813,SJ20211027,215810310,34,M,H,H,1/29/2021,1130,S3,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),,,CHARGED/BOOKED,N
SJ2020203570813,SJ20211008,12255489,29,F,W,W,1/29/2021,1130,S3,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),,,CHARGED/BOOKED,N
SJ2021210230447,SJ20211044,441863073,36,M,H,H,1/29/2021,1827,C3,ON VIEW,ON VIEW ARREST,DRIVING/TAKING VEHICLE W/O OWNERS PERMISSION (ONVW),,,CHARGED/BOOKED,N
SJ2021210280917,SJ2021949,441898840,35,F,W,W,1/29/2021,140,X1,ON VIEW,ON VIEW ARREST,ELDER ABUSE LIKELY PRODUCE GREAT BODILY INJURY OR DEATH (ONVW),4807,TAYLOR,CHARGED/BOOKED,N
SJ2021210290027,SJ2021976,441773581,25,M,W,W,1/29/2021,120,L1,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),,,CHARGED/BOOKED,N
SJ2021210290038,SJ2021959,442054257,36,F,H,H,1/29/2021,122,M4,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),4569,CUELLAR,CHARGED/BOOKED,N
SJ2021210290038,SJ2021960,441772032,32,M,H,H,1/29/2021,145,M4,ON VIEW,ON VIEW ARREST,CONTEMPT:DISOBEY CRT ORDR (ONVW),,,CHARGED/BOOKED,N
SJ2021210290067,SJ2021962,442293709,30,F,B,B,1/29/2021,215,R2,ON VIEW,ON VIEW ARREST,ATT BURG;UNSPECIFIED (ONVW),4692,VAN NULAND,CHARGED/BOOKED,N
SJ2021210290081,SJ20211015,441839123,40,M,V,V,1/29/2021,1000,X3,ON VIEW,ON VIEW ARREST,VANDALISM (ONVW),,,CHARGED/BOOKED,N
SJ2021210290283,SJ20211828,442179626,33,M,W,W,1/29/2021,1028,,CRIMINAL CITATION,SUMMONED/CITED,TAMPER W/VEH (CITE),4837,OCEGUEDA,CITED,N
SJ2021210290288,SJ2021989,441775594,40,M,W,H,1/29/2021,1015,P4,ON VIEW,ON VIEW ARREST,POSSESS UNLAWFUL PARAPHERNALIA (ONVW),,,CHARGED/BOOKED,N
SJ2021210290291,SJ20211826,441977803,36,F,H,H,1/29/2021,1032,K6,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4864,CORDERO,CITED,N
SJ2021210290313,SJ20211024,441799104,40,M,H,H,1/29/2021,1119,W3,ON VIEW,ON VIEW ARREST,BATTERY (ONVW),,,CHARGED/BOOKED,N
SJ2021210290314,SJ20211034,441917099,37,M,H,H,1/29/2021,1045,S4,ON VIEW,ON VIEW ARREST,TRANS/SELL CONTRLD SUB (ONVW),,,CHARGED/BOOKED,N
SJ2021210290335,SJ20211829,442168999,31,M,W,W,1/29/2021,1100,E2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),2869,GUERRA,CITED,N
SJ2021210290338,SJ20211827,441907150,38,M,H,H,1/29/2021,1143,K6,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4864,CORDERO,CITED,N
SJ2021210290339,SJ20211009,441753500,22,F,H,H,1/29/2021,1202,L1,ON VIEW,ON VIEW ARREST,THREATS TO COMMIT CRIME RESULTING IN DEATH OR GBI (ONVW),,,CHARGED/BOOKED,N
SJ2021210290351,SJ2021991,442238492,50,F,O,S,1/29/2021,1123,C5,ON VIEW,ON VIEW ARREST,FORCE/ADW NOT FIREARM:GBI LIKELY (ONVW),,,CHARGED/BOOKED,N
